date	student_id	languages	best_language	app_experience	tech_experience
9/5/2022 14:03:36	9572257	javascript, python, ruby	javascript	Web Front-End (Javascript), Web Back-End Server	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Web Design (HTML+CSS), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/5/2022 13:48:45	216441	C, C++, Python	C++, Python	Command line scripts, Database Driven Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 15:14:25	8246875	Python, C++, Ruby, Java, JS, PHP	Python, Ruby, C++	Command line scripts, Web Front-End (Javascript), Web Back-End Server, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/13/2022 15:39:39	1791400	Java, Kotlin, Ruby, Python, C#, JS Script, Typescript, Angular, ReactJS, SQL	Javascript, Ruby, Java, Python	Command line scripts, Desktop GUI applications, Web Front-End (Javascript), Web Back-End Server, Server-side Applications (other than Web back-end), Mobile Applications, Database Driven Applications	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/7/2022 13:38:06	8486660	Java, C#, Python, Javascript, C++, Swift, PHP	C#, Python, Javascript, C++	Command line scripts, Desktop GUI applications, Web Front-End (Javascript), Web Back-End Server, Mobile Applications, IoT Software, Database Driven Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 13:43:05	8139175	Ruby, C#, JavaScript, Typescript, SQL, React Js, Angular, HTML5, CSS, SASS, NodeJS, Python	C#,Angular,Javascript,Typescript	Command line scripts, Desktop GUI applications, Web Front-End (Javascript), Web Back-End Server, Server-side Applications (other than Web back-end), Mobile Applications, Database Driven Applications	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Advanced Object-Oriented Programming (Design Patterns, Refactoring, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 16:09:13	2769172	Java, C#, Python, JavaScript, PHP, C	Java, JavaScript	Web Front-End (Javascript), Web Back-End Server, Mobile Applications, IoT Software, Firmware (including Raspberry Pi, etc.)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Unified Modeling Langauge (UML Diagrams: Activity, Use Case, Class, Sequence, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/5/2022 21:01:14	9837304	javascript	javascript	Mobile Applications	Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/5/2022 18:00:32	8100155	Python, C++, C#, JavaScript, Swift	Python	Command line scripts, Web Front-End (Javascript), Mobile Applications, IoT Software, Database Driven Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/18/2022 2:30:43	3669966	C#	Python	Command line scripts, Web Front-End (Javascript), Web Back-End Server, IoT Software, Firmware (including Raspberry Pi, etc.), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
