date	student_id	languages	best_language	app_experience	tech_experience
9/9/2023 12:59:59	112164502	Python, Java	Python	Web Back-End Server, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ )
9/9/2023 22:03:09	112078516	Java, Python, Javascript, HTML	Python	Command line scripts, Desktop GUI applications, Web Front-End (Javascript), Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.)
9/9/2023 23:56:01	112078508	C++,C, Python, Javascript,R	python 	Command line scripts, Desktop GUI applications, Web Front-End (Javascript), Web Back-End Server, Database Driven Applications	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/10/2023 3:16:10	112078509	C,C++, Python, R	Python, R	Command line scripts, Desktop GUI applications, Mobile Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.)
9/10/2023 14:20:20	112078502	Javascript Python	for web dev, Javascript (Node js)	Command line scripts, Web Front-End (Javascript), Web Back-End Server	Web Design (HTML+CSS), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.)
9/10/2023 21:12:19	111065532	Java, C#, Python, Javascript	Python	Web Back-End Server, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Containerization (Docker, Kubernetes, etc.)
9/10/2023 22:33:46	112078517	Python, Java, C, C++, C#, Javascript, HTML, CSS, PHP, SQL	Python	Desktop GUI applications, Web Front-End (Javascript), Web Back-End Server, Mobile Applications, Database Driven Applications, Firmware (including Raspberry Pi, etc.)	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.)
9/10/2023 23:00:43	111078703	python, R, Javascript, php, java, ruby	R, ruby	Web Front-End (Javascript), Web Back-End Server, Mobile Applications	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Automated Software Tests (Unit Tests, TDD, BDD, etc.), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.)
9/10/2023 23:16:56	112078503	c,c++,python,sql,php	python	I have not created any of the above	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS)
9/11/2023 1:25:24	112078510	Javascript, C#, SQL, Python	Javascript	Web Front-End (Javascript), Database Driven Applications, Maths/Statistics/Data Science Coding	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Database Design (Entity-Relationship Diagrams, 3rd Normal Form, etc.), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ )
9/11/2023 13:38:38	111062696	Python,Javascript,Golang,C	Python,Golang	Web Front-End (Javascript), Web Back-End Server, Mobile Applications	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/12/2023 16:12:38	111065431	Python, Ruby, Groovy, Javascript, C++	Python	Command line scripts, Web Back-End Server, Server-side Applications (other than Web back-end), Database Driven Applications	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Web Design (HTML+CSS), Regular Expressions (e.g: /\b[A-Z0-9._%+-]+@[A-Z0-9.-]+\.[A-Z]{2,4}\b/ ), Command line (Linux terminal, Mac OSX terminal, PowerShell, etc.), Version Control (Git, SVN, Mercurial, etc.), Cloud Platforms (Heroku, Google App Engine, Amazon EC2/Beanstalk, IBM BlueMix, etc.), Containerization (Docker, Kubernetes, etc.)
9/19/2023 12:02:59	111003816	Python	Python (focus on thinking that what data transoformed and what you need it becomes)	a database of judgement with ML/DL helped.	Basic Object-Oriented Programming (Classes, Inheritance, etc.), Containerization (Docker, Kubernetes, etc.)
